"CorporateNumber","CorporationName","CorporateStatus","FilingType","AddressLine1","AddressLine2","City","State","ZipCode","Country","FillingDate"
"L05000000040","SONIS, LLC                                      ","A","FLAL","           CROSS ROADS ONE CENTER                    ","8201 PETERS ROAD STE. 1000                ","PLANTATION                  ","FL","33324     ","  ","01012005"
"P05000000070","B.D.B. CONSTRUCTION INC.                        ","A","DOMP","           PO BOX 7092                               ","                                          ","PORT SAINT LUCIE            ","FL","34985     ","US","01012005"
"P05000000080","B.R.A.T. WHEEL ALIGNMENT INC.                   ","A","DOMP","           912 ROBERTS RD.                           ","                                          ","LAKE HAMILTON               ","FL","33851     ","  ","12302004"
"P05000000090","KEYSTONE THERAPY SERVICES, INC.                 ","A","DOMP","           1406 WYNDHAM LAKES DRIVE                  ","                                          ","ODESSA                      ","FL","33556     ","  ","01012005"
"L05000000050","CATHERINES #5069, LLC                           ","A","FLAL","           3750 STATE ROAD                           ","                                          ","BENSALEM                    ","PA","19020     ","  ","12302004"
"P05000000100","A-Z PAVING, INC.                                ","A","DOMP","           46 MAXCY PLAZA CIR.                       ","                                          ","HAINES CITY                 ","FL","33844     ","US","01012005"
"P05000000110","MYERS ICE CASTLE, INC.                          ","A","DOMP","           684 W MACCLENNY AVENUE                    ","                                          ","MACCLENNY                   ","FL","32063     ","US","01012005"
"L05000000060","CITIZENS COMMERCE HOLDINGS, LLC                 ","A","FLAL","           8210 LAKEWOOD RANCH BOULEVARD             ","                                          ","BRADENTON                   ","FL","34202     ","  ","12302004"
"L05000000070","ENVIROTECH, LLC                                 ","A","FLAL","           10610 SHADOW OAK TAIL                     ","                                          ","CLERMONT                    ","FL","34711     ","US","12302004"
"L05000000080","ONE LIFE, LLC                                   ","A","FLAL","           1310 JUPITER RD.                          ","                                          ","VENICE                      ","FL","34293     ","  ","12302004"
"L05000000090","PROCUTS, LLC                                    ","A","FLAL","           2311 BRAMBLE COURT                        ","                                          ","MIDDLEBURG                  ","FL","32050     ","US","12302004"
"P05000000120","DEMARR TRANSPORT, INC.                          ","A","DOMP","           7546 SAND LAKE POINT                      ","102                                       ","ORLANDO                     ","FL","32809     ","US","12302004"
"L05000000100","ZAVALA VENTURES LLC                             ","A","FLAL","           12003 LILLIAN AVE N                       ","                                          ","SEMINOLE                    ","FL","33778     ","  ","12302004"
"L05000000110","D.D.A. INVESTMENTS, LLC                         ","A","FLAL","           3835 HENDRICKS AVENUE                     ","                                          ","JACKSONVILLE, FLORIDA       ","  ","32207     ","  ","12302004"
"L05000000120","VIA TELECOM LLC                                 ","A","FLAL","           10 CROSSING CIRCLE                        ","                                          ","BOYNTON BEACH               ","FL","33435     ","  ","12302004"
"N05000000010","ALDEA RESERVE HOME OWNERS ASSOCIATION A FLORIDA ","A","DOMN","P          990 W. HWY. 50, SUITE 101                 ","                                          ","CLERMONT                    ","FL","34711     ","  ","12302005"
"L05000000130","JOE HILL & ASSOCIATES, LLC                      ","A","FLAL","           3028 SIR HAMILTON CIRCLE                  ","                                          ","TITUSVILLE                  ","FL","32780     ","US","12302004"
"L05000000140","LINDA ROBERTS CLEANING, LLC                     ","A","FLAL","           P O BOX 490                               ","                                          ","LAKE HAMILTON               ","FL","33851     ","  ","12302004"
"L05000000150","ANTHONY'S U-SAVE SERVICE STATION,LLC            ","A","FLAL","           2215 GULF GATE DRIVE                      ","                                          ","SARASOTA                    ","FL","34231     ","US","01012005"
"P05000000130","DONALD B. MAIRS, P.A.                           ","A","DOMP","           134 EAST BAY STREET                       ","                                          ","JACKSONVILLE                ","FL","32202     ","  ","01012005"
"L05000000160","ANGELL HEALTH AND NUTRITION CONSULTING, LLC     ","A","FLAL","           3801 NW 38TH STREET                       ","                                          ","GAINESVILLE                 ","FL","32606     ","US","01012005"
"L05000000170","HAMPTON MANOR 24TH ROAD, LLC                    ","A","FLAL","           3056 SW 41ST LANE                         ","                                          ","OCALA                       ","FL","34474     ","US","12302004"
"L05000000180","TREASURE ISLAND DEVELOPMENT GROUP, LLC          ","A","FLAL","           9773 SW SANTA MONICA DR.                  ","                                          ","PALM CITY                   ","FL","34990     ","  ","12302004"
"L05000000190","BAY AREA PAINTING&PRESSURE CLEANING,LLC         ","A","FLAL","           11729 111 TERRACE NORTH                   ","                                          ","SEMINOLE                    ","FL","33778     ","US","12302004"
"P05000000140","STEVEN M. PARRISH, P.A.                         ","A","DOMP","           1 NORTH CLEMATIS STREET, SUITE 500        ","                                          ","WEST PALM BEACH             ","FL","33401     ","  ","01012005"
"L05000000200","ROCK SOLID LLC                                  ","A","FLAL","           PO BOX 1099                               ","                                          ","BAKER                       ","MT","59313     ","US","01032005"
"L05000000210","KEN CRAIG DESIGN, LLC                           ","A","FLAL","           5501 JESSAMINE LANE                       ","                                          ","ORLANDO                     ","FL","32839     ","  ","01012005"
"P05000000150","SPACE COAST GAS, INC.                           ","A","DOMP","           469 NORTH HARBOR CITY BOULEVARD           ","                                          ","MELBOURNE                   ","FL","32935     ","  ","12302004"
"L05000000220","APS MANAGEMENT OF CENTRAL FLORIDA, L.L.C.       ","A","FLAL","           921 WEST EMMETT STREET                    ","                                          ","KISSIMMEE                   ","FL","34741     ","  ","12312004"
"L05000000230","FLOORING CONCEPTS OF FLORIDA, LLC               ","A","FLAL","           1117 NW 44TH AVE                          ","                                          ","GAINESVILLE                 ","FL","32609     ","US","01032005"
"L05000000240","PATRICK M. COOKE BUILDER, LLC                   ","A","FLAL","           8247 CITRUS CHASE DRIVE                   ","                                          ","ORLANDO                     ","FL","32836     ","US","01032005"
"P05000000160","NATIONAL WASTE SYSTEMS, INCORPORATED            ","A","DOMP","           PO BOX 613                                ","                                          ","ESTERO                      ","FL","33928     ","  ","01032005"
"P05000000170","LEO'S REFRIGERATION GROUP, INC.                 ","A","DOMP","           1008 W. 39TH PLACE                        ","                                          ","HIALEAH                     ","FL","33012     ","  ","12302004"
"L05000000270","AFFORDABLE BUSINESS CONSULTANTS LLC             ","A","FLAL","           4300 SE BAY SHORE TERRACE                 ","                                          ","STUART                      ","FL","34997     ","  ","01012005"
"L05000000280","BLUE ARCTIC LLC                                 ","A","FLAL","           4438 FREEDOM ROAD                         ","                                          ","KISSIMMEE                   ","FL","34746     ","  ","01012005"
"L05000000290","TIMBER CREEK INVESTMENTS, LLC                   ","A","FLAL","           PO BOX 820                                ","                                          ","WILLISTON                   ","FL","32696     ","US","01032005"
"L05000000300","D&D INVESTMENTS, LLC                            ","A","FLAL","           1019 FAIRWINDS CIRCLE                     ","APT # 203                                 ","PLANT CITY                  ","FL","33566-1062","US","01032005"
"L05000000310","HBR DEVELOPERS LLC                              ","A","FLAL","           639 S. MANGIONIA CIR.                     ","                                          ","WEST PALM BEACH             ","FL","33401     ","  ","01032005"
"P05000000180","FIVE POINT ENTERPRISES, INC.                    ","A","DOMP","           7350 NORTH LOCKWOOD RIDGE ROAD            ","                                          ","SARASOTA                    ","FL","34243     ","  ","01032005"
"L05000000320","ESTATECALC LLC                                  ","A","FLAL","           12800 MARSH POINTE WAY                    ","                                          ","PALM BEACH GARDENS          ","FL","33418     ","US","01032005"
"L05000000250","ABR INVESTMENTS LLC                             ","A","FLAL","           3106 W 23RD ST                            ","                                          ","PANAMA CITY                 ","FL","32405     ","  ","01032005"
"L05000000260","MEDICAR, LLC                                    ","A","FLAL","           16106 CADBURY CT                          ","                                          ","TAMPA                       ","FL","33647     ","  ","12272004"
"L05000000330","WASHINGTON'S LAWN SERVICE LC                    ","A","FLAL","           1413 40TH STREET                          ","                                          ","WEST PALM BEACH             ","FL","33407     ","US","01032005"
"P05000000190","HEAD TO TOE ENTERPRISES, INC.                   ","A","DOMP","           1125 OLD JUPITER BEACH RD                 ","                                          ","JUPITER                     ","FL","33477     ","  ","01032005"
"L05000000340","HOWSARE-BRIDGE, LLC                             ","A","FLAL","           2105 BAY BLVD                             ","UNIT 1                                    ","INDIAN ROCKS BEACH          ","FL","33785     ","  ","01032005"
"P05000000200","LADY SHAY GONDER INC.                           ","A","DOMP","           P.O. BOX 5307                             ","                                          ","LIGHTHOUSE POINT            ","FL","33074     ","US","01012005"
"P05000000210","RON EDSALL DENTAL LAB, INC.                     ","A","DOMP","           5325 SE 14TH CT.                          ","                                          ","OCALA                       ","FL","34480     ","  ","01012005"
"L05000000350","HIGH POINT DEVELOPMENT, LLC                     ","A","FLAL","           2506 SOUTH MACDILL AVE STE A              ","                                          ","TAMPA                       ","FL","33629     ","  ","12302004"
"P05000000220","R & J INVESTMENT PROP PER T, INC.               ","A","DOMP","           215 BAY COLONY DRIVE                      ","                                          ","JUNO BEACH                  ","FL","33408     ","US","12262004"
"L05000000360","CLA SOUTH, LLC                                  ","A","FLAL","           2401 SOUTH OCEAN DRIVE #2105              ","                                          ","HOLLYWOOD                   ","FL","33019     ","  ","12302004"
"P05000000230","JWF ENTERPRISES INC.                            ","A","DOMP","           5480 LYONS RD., UNIT 106                  ","                                          ","COCONUT CREEK               ","FL","33073     ","  ","12292004"
"P05000000240","MDC FOOD CORP.                                  ","A","DOMP","           32 E. PARK DR.                            ","                                          ","OLD BETH PAGE               ","NY","11804     ","  ","01032005"
"A05000000020","STUTTGART HOLDINGS, LTD.                        ","A","DOML","P          1800 SOUTH OCEAN BLVD., #707              ","                                          ","LAUDERDALE BY THE SEA       ","FL","33062     ","  ","12302004"
"P05000000250","VALLEDOR PRODUCT DEVELOPMENT, INC.              ","A","DOMP","           19325 S.W. 41 STREET                      ","                                          ","MIRAMAR                     ","FL","33029     ","  ","01012005"
"N05000000020","EXPECT TO WIN FOOTBALL, INC.                    ","A","DOMN","P          16333 SW 111TH AVE.                       ","                                          ","MIAMI                       ","FL","33157     ","US","01032005"
"P05000000270","INTEGRITY REAL ESTATE TRAINING ACADEMY, INC.    ","A","DOMP","           154 HICKORY STICK CT.                     ","                                          ","DEBARY                      ","FL","32713     ","  ","01032005"
"P05000000300","BUSTED EQUIPMENT COMPANY                        ","A","DOMP","           2457A  S. HIAWASSEE RD.                   ","#264                                      ","ORLANDO                     ","FL","32835     ","  ","01012005"
"P05000000310","JDS WEB STUDIOS, INC.                           ","A","DOMP","           129 GLEN EAGLES COURT                     ","                                          ","PONTE VEDRA BEACH           ","FL","32082     ","  ","01012005"
"L05000000370","M & E APPRAISAL SERVICES L.L.C.                 ","A","FLAL","           8280 134TH ST.                            ","                                          ","SEBASTIAN                   ","FL","32958     ","  ","12272004"
"P05000000320","ROLLING MEADOWS FARM, INC.                      ","A","DOMP","           P.O. BOX 667                              ","                                          ","FAIRFIELD                   ","FL","32634     ","  ","01012005"
"P05000000260","PETE ANDOLINA PRODUCE SALES, INC.               ","A","DOMP","           11210 LOXAHATCHEE ROAD                    ","                                          ","BOCA RATON                  ","FL","33428     ","US","12282004"
"P05000000280","LAW OFFICES OF CHARLES G. CRAWFORD, P.A.        ","A","DOMP","           33 SUNTREE PLACE                          ","SUITE C                                   ","MELBOURNE                   ","FL","32940     ","US","01012005"
"P05000000330","MDM LONG TERM CARE CONSULTING, INC.             ","A","DOMP","           1065 S.W. 102ND TERRACE                   ","                                          ","PEMBROKE PINES              ","FL","33025     ","US","01012005"
"P05000000340","L BORGELLA , INC.                               ","A","DOMP","           11446 ROYAL PALMS BLVD                    ","SUITE 46                                  ","CORAL SPRINGS               ","FL","33065     ","  ","01032005"
"P05000000360","AAA MEDICAL COMPLIANCE TESTING INC              ","A","DOMP","           1837 KUDZA RD                             ","                                          ","WEST PALM BEACH             ","FL","33415     ","US","01032005"
"P05000000370","DEWHURST MEDICAL SERVICES, INC                  ","A","DOMP","           1127 MERIDIAN AVE                         ","7                                         ","MIAMI BEACH                 ","FL","33139     ","  ","01032005"
"P05000000380","FAMILY CLINICAL SERVICES, INC.                  ","A","DOMP","           1397 TEMPLE ST.                           ","                                          ","CLEARWATER                  ","FL","33756     ","  ","01012005"
"P05000000390","FLORIDIAN FLOORING CORP.                        ","A","DOMP","           9110 SW 20 STREET                         ","A                                         ","FORT LAUDERDALE             ","FL","33324     ","US","01032005"
"P05000000400","WHEAT PROFESSIONAL PAINTING INC.                ","A","DOMP","           23095 GRAY AVENUE                         ","                                          ","PORT CHARLOTTE              ","FL","33980     ","US","01032005"
"P05000000410","PAULINO BLAS ENTERPRISES, INC                   ","A","DOMP","           179 NW 68 ST                              ","                                          ","FT LAUDERDALE               ","FL","33309     ","  ","01012005"
"P05000000290","ROSSEL CONSTRUCTION GROUP, INC.                 ","A","DOMP","           7254 SW109 PLACE                          ","                                          ","MIAMI                       ","FL","33173     ","US","01032005"
"P05000000350","THOUGHT-FULL, INC.                              ","A","DOMP","           2511 DEER RUN E.                          ","                                          ","CLEARWATER                  ","FL","33761     ","  ","01032005"
"P05000000420","ALEXANDER HOMES CONSTRUCTION, INC.              ","A","DOMP","           270 W. CONSTANCE ROAD                     ","                                          ","DEBARY                      ","FL","32713     ","  ","01032005"
"P05000000440","CITICORP FINANCIAL, INC.                        ","A","DOMP","           23271 COSTA DEL SOL BLVD.                 ","                                          ","BOCA RATON                  ","FL","33433     ","US","01032005"
"P05000000450","CHYSAN, CORP                                    ","A","DOMP","           284 WINNERS CIRCLE                        ","#3                                        ","NAPLES                      ","FL","34112     ","US","01032005"
"P05000000460","JC-N MARKETING, CORPORATION                     ","A","DOMP","           4440 NW 21 STREET                         ","102                                       ","LAUDERHILL                  ","FL","33313     ","  ","01032005"
"L05000000390","BAGS FOR CRUISES, LLC                           ","A","FLAL","           621 E. WASHINGTON ST. SUITE 8             ","                                          ","ORLANDO                     ","FL","32801     ","  ","01012005"
"P05000000470","INNOVATIVE INTERIORS OF VOLUSIA, INC            ","A","DOMP","           1710 PINE AVENUE                          ","                                          ","DELAND                      ","FL","32724     ","US","01102005"
"M05000000010","BIG DOGG DISTRIBUTORS, LLC                      ","A","FORL","           5525 NW 15TH AVENUE SUITE 302             ","                                          ","FT. LAUDERDALE              ","FL","33309     ","  ","01032005"
"P05000000480","THE INSURANCE LADY OF N.W. FLORIDA, INC.        ","A","DOMP","           5022 W. FAIRFIELD DR.                     ","                                          ","PENSACOLA                   ","FL","32506     ","  ","01032005"
"L05000000380","BASCOM DIGITAL LLC                              ","A","FLAL","           5042 GROVELAND TER                        ","                                          ","NAPLES                      ","FL","34119-8429","  ","12272004"
"F05000000010","ANGELO 1969, INC.                               ","A","FORP","           825 BRICKELL BAY DR.                      ","SUITE 1045                                ","MIAMI                       ","FL","33131     ","  ","12292004"
"P05000000490","ARBORCARE MAINTENANCE INC                       ","A","DOMP","           2307 DOUGLAS RD                           ","302                                       ","MIAMI                       ","FL","33145     ","  ","01032005"
"P05000000500","B & D REAL ESTATE SERVICES, INC.                ","A","DOMP","           14237 SW 96 TERR                          ","                                          ","MIAMI                       ","FL","33173     ","US","01012005"
"P05000000510","AMERICAN CRAFTSMAN & FLOORING, INC.             ","A","DOMP","           6205 65TH COURT EAST                      ","                                          ","PALMETTO                    ","FL","34221     ","US","01012005"
"L05000000400","NDW PORTER, LLC                                 ","A","FLAL","           4736 N. BAY ROAD                          ","                                          ","MIAMI BEACH                 ","FL","33140     ","  ","12302004"
"P05000000530","DATA FLEX INTERNATIONAL, INC                    ","A","DOMP","           8012 NW 29TH STREET                       ","                                          ","MIAMI                       ","FL","33122     ","  ","01012005"
"P05000000540","DATA RECOVERY USA INC.                          ","A","DOMP","           5801 SW 188 AVE                           ","                                          ","SOUTHWEST RANCHES           ","FL","33332     ","US","01032005"
"L05000000410","DEXTER GABBARD PROPERTIES, LLC                  ","A","FLAL","           7639 WHISPERING WIND DRIVE                ","                                          ","LAND O'LAKES                ","FL","34637     ","  ","12232004"
"P05000000550","1715 FLEET 2005 INC.                            ","A","DOMP","           8185 PALM GATE DRIVE                      ","                                          ","BOYNTON BEACH               ","  ","33436     ","US","01012005"
"P05000000430","T. D. JARVIS, INC.                              ","A","DOMP","           11825 NORTHWEST LITTLE CAT ROAD           ","                                          ","GREENVILLE                  ","FL","32331     ","US","01032005"
"P05000000560","HOLORES DATA SYSTEMS, INC.                      ","A","DOMP","           1426 S.W. OSPREY COVE                     ","                                          ","PORT SAINT LUCIE            ","FL","34986     ","US","01032005"
"P05000000570","THOMPSON & SON'S RENNOVATIONS, INC.             ","A","DOMP","           P.O. BOX 292                              ","                                          ","HIGH SPRINGS                ","FL","32655     ","  ","01032005"
"P05000000580","MONTOYA DRYWALL, INC.                           ","A","DOMP","           902 45TH ST                               ","APT B                                     ","NICEVILLE                   ","FL","32578     ","US","01032005"
"P05000000590","KENNEDY DESIGN INC.                             ","A","DOMP","           9595 123RD WAY N.                         ","                                          ","SEMINOLE                    ","FL","33772     ","  ","01032005"
"L05000000420","INDEPENDENT MANAGEMENT, L.L.C.                  ","A","FLAL","           27499 RIVERVIEW CENTER, SUITE 131         ","                                          ","BONITA SPRINGS              ","FL","34134     ","  ","01012005"
"P05000000600","L.A. HOME INSPECTION SERVICES. INC              ","A","DOMP","           4906 SW 11 PLACE                          ","                                          ","MARGATE                     ","FL","33068     ","  ","01032005"
"P05000000620","WESTMONT MANAGEMENT SERVICES, INC.              ","A","DOMP","           446 WEST PLANT STREET                     ","                                          ","WINTER GARDEN               ","FL","34787     ","  ","01012005"
"L05000000430","RAINER GROUP LIMITED LIABILITY COMPANY          ","A","FLAL","           2841 N.W. 41ST STREET                     ","                                          ","GAINESVILLE                 ","FL","32606     ","  ","01012005"
"P05000000640","STEMPIEN FINANCIAL CORP.                        ","A","DOMP","           10843 CYPRESS GLEN DRIVE                  ","                                          ","CORAL SPRINGS               ","FL","33071     ","  ","01032005"
"P05000000520","EMH BILLING INC.                                ","A","DOMP","           5760 NW 74TH PLACE                        ","APT 105                                   ","COCONUT CREEK               ","FL","33073     ","US","01032005"
"P05000000610","YPEACE, INC.                                    ","A","DOMP","           9868 HERON POINTE DRIVE                   ","                                          ","ORLANDO                     ","FL","32832     ","US","01032005"
"P05000000650","DARRYL MATUS P.A.                               ","A","DOMP","           1700 SE 15TH STREET                       ","112                                       ","FORT LAUDERDALE             ","FL","33316     ","  ","01032005"
"P05000000670","OH-MEGA JEWELRY, INC.                           ","A","DOMP","           234 SW 19TH STREET                        ","                                          ","FT LAUDERDALE               ","FL","33315     ","  ","01032005"
"L05000000460","WATERVIEW EQUITIES, LLC                         ","A","FLAL","           655 E. 116TH STREET                       ","                                          ","KANSAS CITY                 ","MO","64131     ","  ","12272004"
"P05000000700","JENNIFER NICOLE LEE, INC                        ","A","DOMP","           6395 SW 40 ST                             ","                                          ","MIAMI                       ","FL","33155     ","  ","01032005"
"L05000000470","AZUL CONDOMINIUM RENTAL, LLC                    ","A","FLAL","           1300 S.W. 78 AVENUE                       ","                                          ","MIAMI                       ","FL","33144     ","  ","01032005"
"P05000000710","SARASOTA-MANATEE HOMES, INC.                    ","A","DOMP","           3821 GATEWOOD DR                          ","                                          ","SARASOTA                    ","FL","34232     ","  ","01032005"
"L05000000480","NURSESFORNURSES LLC                             ","A","FLAL","           407 SE 6TH STREET                         ","                                          ","DANIA                       ","FL","33004     ","  ","01032005"
"P05000000720","ERMENEGILDO MARKETING, INC. A TRANS PACIFIC COMP","A","DOMP","           1558 NANTUCKET CT                         ","                                          ","PALM HARBOR                 ","FL","34683     ","  ","01032005"
"P05000000630","SOUTHERN WRECKING, INC.                         ","A","DOMP","           251 JACKSON ST                            ","                                          ","LAKE WALES                  ","FL","33859     ","  ","01032005"
"F05000000020","TUFF SHED, INC.                                 ","A","FORP","           1777 S HARRISON ST., STE. 600             ","                                          ","DENVER                      ","CO","80210     ","  ","12272004"
"N05000000030","NEW BEGINNINGS PRAYER AND DELIVERANCE HOLY TEMPL","A","DOMN","P          1412 EVERS STREET                         ","                                          ","PLANT CITY                  ","FL","          ","  ","01032005"
"L05000000440","HORSE CENTS LLC                                 ","A","FLAL","           1296 NE OCEANVIEW CIRCLE                  ","                                          ","JENSEN BEACH                ","FL","34957     ","  ","12272004"
"P05000000680","DBR CAREER SERVICES, INC.                       ","A","DOMP","           183 SW 96 TERR                            ","                                          ","PLANTATION                  ","FL","33324     ","  ","01032005"
"L05000000450","PARADIGM MIRASOL III, LLC                       ","A","FLAL","           18011 LAKE MAGGORIE WAY                   ","                                          ","MIROMAR LAKES               ","FL","33913     ","  ","12272004"
"P05000000690","MACIE ASSOCIATES, INC.                          ","A","DOMP","           % THE LAW OFFICE OF JOSHUA G. GERSTIN, P.A","399 WEST PALMETTO PK RD SUITE 108         ","BOCA RATON                  ","FL","33432     ","  ","01032005"
"P05000000730","VERSATILE WORKS INC                             ","A","DOMP","           4961 NW 54TH STREET                       ","                                          ","COCONUT CREEK               ","FL","33073     ","  ","01012005"
"N05000000040","PENZANCE ESTATES HOMEOWNERS' ASSOCIATION, INC.  ","A","DOMN","P          9001 DANIELS PARKWAY SUITE 200            ","                                          ","FT MYERS                    ","FL","33912     ","  ","01032005"
"P05000000740","MARCUS LEE WINTZ CONSTRUCTION, INC.             ","A","DOMP","           10052 SALI DR                             ","                                          ","ORLANDO                     ","FL","32817     ","  ","01032005"
"P05000000660","PANCOL INVESTMENTS, INC.                        ","A","DOMP","           10331 SW 135TH CT.                        ","                                          ","MIAMI                       ","FL","33183     ","  ","01032005"
"L05000000490","SOMERS DEVELOPEMENT, LLC                        ","A","FLAL","           10859 EMERALD COAST PKWY, PMB #422        ","                                          ","DESTIN                      ","FL","32550     ","  ","12272004"
"L05000000500","JED INVESTMENTS, LLC                            ","A","FLAL","           848 BRICKELL AVE., SUITE 747              ","                                          ","MIAMI                       ","FL","33131     ","  ","01032005"
"P05000000760","OM EXPRESSIONS, INC.                            ","A","DOMP","           9369 SHERIDAN ST STE 704                  ","                                          ","COOPER CITY                 ","FL","33024     ","  ","01032005"
"M05000000020","CROWN THEATRES LLC                              ","A","FORL","           ATTN: KATHRYN T. ABLES                    ","222 N. LASALLE STREET, SUITE 2000         ","CHICAGO                     ","IL","60601     ","  ","01032005"
"P05000000750","PETE A. SCOTT INC.                              ","A","DOMP","           233 E GRANT ST                            ","                                          ","ORLANDO                     ","FL","32806     ","  ","01032005"
"L05000000510","REEL NATIVE CHARTERS, LLC                       ","A","FLAL","           1782 OLD SUMMERWOOD BLVD.                 ","                                          ","SARASOTA                    ","FL","34232     ","  ","12232004"
"P05000000770","GARY'S DESIGN JEWELRY INC.                      ","A","DOMP","           1401 PINYON PINE CIR                      ","                                          ","SARASOTA                    ","FL","34240     ","  ","01032005"
"P05000000001","VMP HOSPITALITY INC.                            ","A","DOMP","           151 NW 17 AVE                             ","                                          ","POMPANO BEACH               ","FL","33069     ","  ","01012005"
"L05000000001","PAPER MONEY GUARANTY, LLC                       ","A","FLAL","           1500 INDEPENDENCE BLVD.                   ","C/O CERTIFIED COLLECTIBLES GROUP          ","SARASOTA                    ","FL","34234     ","  ","01012005"
"M05000000001","EPO HOLDINGS LLC                                ","A","FORL","           59 STEAMWHISTLE DRIVE                     ","                                          ","IVYLAND                     ","PA","18954     ","  ","01032005"
"P05000000011","PORT TO PORT, INC.                              ","A","DOMP","           1040 SEMINOLE DR #962                     ","                                          ","FT LAUDERDALE               ","FL","33304     ","  ","01012005"
"A05000000001","NAPLES FLORIDA II, LIMITED PARTNERSHIP          ","A","DOML","P          2295 BAYVIEW AVENUE                       ","                                          ","TORONTO                     ","ON","M4N 3-K8  ","CA","12302004"
"P05000000021","SERENITY'S PATH, INC.                           ","A","DOMP","           2222 FOREST STREET                        ","                                          ","HOLLYWOOD                   ","FL","33020     ","  ","12302004"
"N05000000001","LITTLE AMERICANS, INC.                          ","A","DOMN","P          7167 MT HAWTHORNE RD NE                   ","                                          ","ST PETERSBURG               ","FL","33702     ","  ","01012005"
"L05000000011","717 VIRGINIA STREET, L.L.C.                     ","A","FLAL","           719 ISLAND WAY                            ","                                          ","CLEARWATER                  ","FL","33767     ","  ","01012005"
"L05000000021","BPCGL, LLC                                      ","A","FLAL","           4890 BAYOU BOULEVARD                      ","                                          ","PENSACOLA                   ","FL","32503     ","  ","12292004"
"F05000000001","LOWE DESTINATION DEVELOPMENT, INC.              ","A","FORP","           11777 SAN VICENTE BLVD., SUITE 900        ","                                          ","LOS ANGELES                 ","CA","90049     ","  ","12302004"
"P05000000031","J & M ENTERPRISES OF COLLIER COUNTY INC.        ","A","DOMP","           776 92ND AVE. NORTH                       ","                                          ","NAPLES                      ","FL","34108     ","  ","12302004"
"P05000000041","FLORENTINE CERAMICS INC                         ","A","DOMP","           1303 MAIN ST                              ","                                          ","SARASOTA                    ","FL","34236     ","  ","12302004"
"B05000000001","INDEMCO, LP                                     ","A","FORL","P          777 POST OAK BLVD., SUITE 330             ","                                          ","HOUSTON                     ","TX","77058     ","  ","12302004"
"L05000000031","SHA ASSOCIATES II GP, LLC                       ","A","FLAL","           THE BRANDYWINE CENTRE 1                   ","580 VILLAGE BLVD., SUITE 120              ","WEST PALM BEACH             ","FL","33409     ","  ","12302004"
"P05000000051","CECO AIR CONDITIONING CORP.                     ","A","DOMP","           12140 SW 123 PL                           ","                                          ","MIAMI                       ","FL","33186     ","  ","12302004"
"P05000000061","JEANNINE RIZZO ENTERPRISES, INC.                ","A","DOMP","           41 D ESSEX COURT                          ","                                          ","ROYAL PALM BEACH            ","FL","33411     ","  ","12302004"
"L05000000041","BERTRAM'S HOME IMPROVEMENT & REPAIR LLC         ","A","FLAL","           834 KELL-AIRE DRIVE                       ","                                          ","DESTIN                      ","FL","32541     ","  ","12302004"
"A05000000011","KUNKEL SLG, LTD.                                ","A","DOML","P          4315 PABLO OAKS COURT, SUITE 1            ","                                          ","JACKSONVILLE                ","FL","32224     ","  ","12302004"
"P05000000071","SENIOR INSURANCE MANAGEMENT, INC.               ","A","DOMP","           600 RIVER BIRCH COURT                     ","#431                                      ","CLERMONT                    ","FL","34711     ","  ","01012005"
