"CorporateNumber","CorporationName","CorporateStatus","FilingType","AddressLine1","AddressLine2","City","State","ZipCode","Country","FillingDate"
"P05000006590","LIFE CLEANING SERVICES CORPORATION              ","A","DOMP","           7991 NW 7 STREET                          ","C2                                        ","MIAMI                       ","FL","33126     ","  ","01132005"
"P05000006600","NICOLE PIETRI INC                               ","A","DOMP","           3410 GALT OCEAN DRIVE                     ","509 N                                     ","FORT LAUDERDALE             ","FL","33308     ","  ","01122005"
"P05000006610","STATIC PRINTING, INC                            ","A","DOMP","           3461 SW 2ND AVE                           ","250                                       ","GAINESVILLE                 ","FL","32607     ","  ","01132005"
"P05000006620","SMILINGSTARS, INC.                              ","A","DOMP","           1600 S RIDGEWOOD AVE                      ","                                          ","SOUTH DAYTONA               ","FL","32119     ","  ","01132005"
"P05000006630","J. ACOSTA TRANSPORTATION, INC.                  ","A","DOMP","           14681 SW 52 ST                            ","                                          ","MIAMI                       ","FL","33175     ","  ","01122005"
"L05000004000","416, LLC                                        ","A","FLAL","           710 SOUTH DIXIE HIGHWAY                   ","                                          ","CORAL GABLES                ","FL","33146     ","  ","01132005"
"P05000006470","FAST TRACK APPRAISALS, INC.                     ","A","DOMP","           P.O. BOX 1059                             ","                                          ","SHARPES                     ","FL","32959--105","US","01122005"
"P05000006480","VELAZQUEZ INVESTMENT GROUP, INC.                ","A","DOMP","           2540 SW 7 AVENUE                          ","                                          ","MIAMI                       ","FL","33129     ","  ","01102005"
"P05000006640","UNIQUE COATING AND PAINTING, INC.               ","A","DOMP","           6918 SILVER STAR ROAD                     ","                                          ","ORLANDO                     ","FL","32818     ","  ","01122005"
"M05000000200","ECS NORTH AMERICA, LLC                          ","A","FORL","           148 MILL ROCK ROAD                        ","                                          ","EAST OLD SAYBROOK           ","CT","06475     ","  ","01062005"
"P05000006670","RIGHT BENEFIT CONSULTANTS, INC.                 ","A","DOMP","           3900 HOLLYWOOD BLVD STE 102               ","                                          ","HOLLYWOOD                   ","FL","33021     ","  ","01122005"
"P05000006690","ADVANCED TREE & LAWN SERVICES, INC.             ","A","DOMP","           11502 WAGON RD. APT. B                    ","                                          ","ORLANDO                     ","FL","32826     ","  ","01122005"
"P05000006700","TROPICS WICKER + ISLAND DECOR, INC.             ","A","DOMP","           1707 E HALLANDALE BEACH BLVD              ","                                          ","HALLANDALE BEACH            ","FL","33009     ","  ","01122005"
"P05000006710","HIMALAYAN SALT CORP.                            ","A","DOMP","           1431 SE 16TH AVE                          ","                                          ","HOMESTEAD                   ","FL","33035     ","  ","01122005"
"P05000006720","VINCENT GARDENS CORP.                           ","A","DOMP","           8390 SOUTH DIXIE HWY.                     ","                                          ","MIAMI                       ","FL","33156     ","  ","01122005"
"L05000004040","L.J. & C.A. INVESTMENTS LLC                     ","A","FLAL","           720 HONEYCOMB LANE                        ","                                          ","AUBURNDALE                  ","FL","33823     ","  ","01062005"
"P05000006580","ALO INCORPORATED                                ","A","DOMP","           11321 ROCKINGHORSE RD                     ","                                          ","COOPER CITY                 ","FL","33026     ","US","01122005"
"P05000006730","ROSLIN ENTERPRISES, INC.                        ","A","DOMP","           1040 GEORGE AVENUE                        ","                                          ","ROCKLEDGE                   ","FL","32955     ","  ","01122005"
"P05000006750","J.P. JACOBS II, M.D., PA                        ","A","DOMP","           200 BUTLER STREET #101                    ","                                          ","WEST PALM BEACH             ","FL","33407     ","  ","01122005"
"L05000004050","PUBLIC MANAGEMENT SOLUTIONS, L.L.C.             ","A","FLAL","           2605 ARMSTRONG RD.                        ","                                          ","TALLAHASSEE                 ","FL","32308     ","  ","01062005"
"F05000000220","NATIONAL ORGANIZATION FOR RARE DISORDERS, INC.  ","A","FORN","P          55 KENOSIA AVENUE                         ","                                          ","DANBURY                     ","CT","06813-1968","  ","01052005"
"P05000006760","JAD PRODUCTS, INC.                              ","A","DOMP","           3911 JOG ROAD #218                        ","                                          ","GREENACRES                  ","FL","33467     ","  ","01122005"
"P05000006770","MONSTER MUSIC, INC.                             ","A","DOMP","           6974 N.W. 12TH STREET                     ","                                          ","MIAMI                       ","FL","33126     ","  ","01122005"
"P05000006780","SUPERIOR STORAGE SOLUTIONS, INC.                ","A","DOMP","           24819 STATE ROAD 46                       ","                                          ","SORRENTO                    ","FL","32776     ","  ","01122005"
"L05000004060","D.C.W. HARDWOOD STAIRWAYS & WOODWORKING LLC     ","A","FLAL","           1040 GLENWOOD RD.                         ","                                          ","DELAND                      ","FL","32720     ","  ","01132005"
"P05000006790","HIGINIO RENTAL PROPERTIES, INC.                 ","A","DOMP","           200 S.W. 1ST STREET                       ","                                          ","BELLE GLADE                 ","FL","33430     ","  ","01122005"
"P05000006650","BODYFLOW TECHNOLOGIES USA, INC.                 ","A","DOMP","           737 NEW JERSEY ST                         ","                                          ","W PALM BCH                  ","FL","33401     ","  ","01122005"
"P05000006660","MIMI BILLING & COLLECTION, CORP.                ","A","DOMP","           666 WEST 81 STREET APT 221                ","                                          ","HIALEAH                     ","FL","33014     ","  ","01122005"
"L05000004010","AMERICAN NATIONAL TITLE - FLORIDA, L.L.C.       ","A","FLAL","           1250 S. BELCHER ROAD, SUITE 105           ","                                          ","LARGO                       ","FL","33771     ","  ","01132005"
"P05000006680","EXOTIC FURNITURE IMPORTS, INC.                  ","A","DOMP","           10180 NW 27TH TERRACE                     ","                                          ","MIAMI                       ","FL","33172     ","  ","01122005"
"L05000004020","INSTITUTE FOR RESEARCH, EVALUATION & POLICY ANAL","A","FLAL","           P.O. BOX 616953                           ","                                          ","ORLANDO                     ","FL","32861-6953","  ","01072005"
"L05000004030","TEAM AGAVE, LLC                                 ","A","FLAL","           888 EAST LAS OLAS BOULEVARD, SUITE 700    ","                                          ","FORT LAUDERDALE             ","FL","33301     ","  ","01102005"
"N05000000420","MEDICAL CIVIC ACTION PROGRAMS INTERNATIONAL, INC","A","DOMN","P          16315 EMERALD COVE RD                     ","                                          ","WESTON                      ","FL","33331     ","  ","01112005"
"N05000000430","DOWNTOWN ORLANDO WATER POLO, INC.               ","A","DOMN","P          515 EAST LIVINGSTON STREET                ","                                          ","ORLANDO                     ","FL","32803     ","  ","01122005"
"P05000006800","WILBUR PERMUY ANDALUSIA 360, INC.               ","A","DOMP","           521 GIRALDA AVENUE                        ","                                          ","CORAL GABLES                ","FL","33134     ","  ","01122005"
"L05000004070","GREAT FLORIDA TAX SERVICE, LLC                  ","A","FLAL","           10535 SPRING HILL DRIVE                   ","                                          ","SPRING HILL                 ","FL","34608     ","  ","01032005"
"P05000006810","ICE CAFE' VENEZIA INC.                          ","A","DOMP","           2224 FIRST ST. (DOWNTOWN)                 ","                                          ","FT. MYERS                   ","FL","33901     ","  ","01102005"
"F05000000230","MAROIF CONSTRUCTION, INC.                       ","A","FORP","           5015 IDLEWILD RD N.                       ","                                          ","CHARLOTTE                   ","NC","28227     ","  ","01062005"
"P05000006820","GREENBERG & BERK, P.A.                          ","A","DOMP","           200 S. BISCAYNE BLVD., STE. 3000          ","                                          ","MIAMI                       ","FL","33131     ","  ","01122005"
"P05000006181","RIO BIKINIS, INC.                               ","A","DOMP","           1961 NE 147TH STREET                      ","                                          ","NORTH MIAMI BEACH           ","FL","33181     ","  ","01122005"
"N05000000381","FCC TAMPA BAY, INC.                             ","A","DOMN","P          C/O CHRISTY PEMBERTON                     ","12945 RIDGE RD                            ","LARGO                       ","FL","33778     ","  ","01122005"
"P05000006191","RENTAL CONCEPTS, INC.                           ","A","DOMP","           4767 NEW BROAD STREET, STE. 1012          ","                                          ","ORLANDO                     ","FL","32814     ","  ","01132005"
"P05000006201","RCA CONSTRUCTION INC.                           ","A","DOMP","           8806 GRAY HAWK POINT                      ","                                          ","ORLANDO                     ","FL","32836     ","  ","01122005"
"P05000006211","VERN GILLEM CORPORATION                         ","A","DOMP","           8804 40TH LANE N                          ","                                          ","PINELLAS PARK               ","FL","33782     ","  ","01122005"
"P05000006221","MSJAA, INC.                                     ","A","DOMP","           3052 BIRKDALE DRIVE                       ","                                          ","WESTON                      ","FL","33332     ","  ","01132005"
"P05000006231","JIREH FLOORING, CORP.                           ","A","DOMP","           25320 SW 137TH AVE                        ","APT # 203                                 ","HOMESTEAD                   ","FL","33032     ","  ","01122005"
"A05000000111","SG SARASOTA, LTD.                               ","A","DOML","P          2221 LEE ROAD, SUITE 28                   ","                                          ","WINTER PARK                 ","FL","32789     ","  ","01122005"
"P05000006241","CUNHA SERVICES, CORP.                           ","A","DOMP","           3370 BEAU VILLAGE DR. # B-6               ","                                          ","POMPANO BEACH               ","FL","33064     ","  ","01122005"
"P05000006251","MEDICAL SONOGRAPHY SPECIALIST, INC.             ","A","DOMP","           12245 OLD COUNTRY RD.                     ","                                          ","WELLINGTON                  ","FL","33414     ","  ","01132005"
"Q05000000001","JUNGLE ROAD CORP.                               ","A","AGEN","T          625 N. FLAGLER DRIVE, SUITE 625           ","                                          ","WEST PALM BEACH             ","FL","33401     ","  ","01122005"
"L05000003651","BUMBLE, LLC                                     ","A","FLAL","           725 N. HWY A1A STE 208-E                  ","                                          ","JUPITER                     ","FL","33477     ","  ","01122005"
"P05000006261","SALO INVESTMENTS CORP.                          ","A","DOMP","           2875 NE 191ST STREET #801                 ","                                          ","AVENTURA                    ","FL","33180     ","  ","01122005"
"N05000000391","ARISTA HOMEOWNERS ASSOCIATION, INC.             ","A","DOMN","P          325 SOUTH BOULEVARD                       ","                                          ","TAMPA                       ","FL","33606     ","  ","01122005"
"L05000003661","CHUNGKUO, LLC                                   ","A","FLAL","           1001 N. AMERICA WAY                       ","SUITE 106                                 ","MIAMI                       ","FL","33132     ","US","01112005"
"L05000003671","JUSTIN L. SMITH, L.L.C.                         ","A","FLAL","           11301 WYNDHAM CREST BLVD                  ","                                          ","SANFORD                     ","FL","32771     ","US","01122005"
"P05000006271","MCINNIS GROUP, INC.                             ","A","DOMP","           2550 NW 114TH AVE                         ","                                          ","CORAL SPRINGS               ","FL","33065     ","  ","01122005"
"L05000003681","INTERPRETATION CREATIONS, LLC                   ","A","FLAL","           200 S. ORANGE AVENUE, SUITE 2600          ","                                          ","ORLANDO                     ","FL","32801     ","  ","01122005"
"L05000003691","CRALL PROPERTIES, LLC                           ","A","FLAL","           5803 CAY COVE COURT                       ","                                          ","TAMPA                       ","FL","33615     ","  ","01122005"
"P05000006281","THE J T HILL GROUP, INC.                        ","A","DOMP","           201 S. BISCAYNE BLVD., 10TH FLOOR         ","                                          ","MIAMI                       ","FL","33131     ","  ","01122005"
"L05000003701","VEGAS INTERNET, LLC                             ","A","FLAL","           1022 N. PINE HILLS RD.                    ","                                          ","ORLANDO                     ","FL","32808     ","  ","01122005"
"L05000003711","LHW HOMES, LLC                                  ","A","FLAL","           521 CRESTON COURT                         ","                                          ","MELBOURNE                   ","FL","32901     ","  ","01122005"
"L05000003721","DOUBLE HELIX LLC                                ","A","FLAL","           1811 ENGLEWOOD ROAD                       ","SUITE 350                                 ","ENGLEWOOD                   ","FL","34223     ","US","01122005"
"L05000003731","COLLECTORS'  WORLD L.L.C.                       ","A","FLAL","           5661 34 STREET NORTH                      ","                                          ","ST. PETERSBURG              ","FL","33714     ","  ","01122005"
"L05000003741","MR. FIX-ALL, LLC                                ","A","FLAL","           135 CHARLES ST.                           ","                                          ","EDGEWATER                   ","FL","32141     ","US","01112005"
"P05000006291","R.D. GUERINO TRANSPORTATION, INC.               ","A","DOMP","           302 RIVER BLUFF LANE                      ","                                          ","ROYAL PALM BEACH            ","FL","33411     ","  ","01122005"
"L05000003751","ALLIANT GROVELAND LLC                           ","A","FLAL","           1705 N. 16TH STREET                       ","                                          ","TAMPA                       ","FL","33605     ","  ","01102005"
"L05000003761","THE EVEREST GROUP, LLC                          ","A","FLAL","           500 S.R 436                               ","2022                                      ","CASSELBERRY                 ","FL","32707     ","US","01122005"
"L05000003771","R AND B LLC                                     ","A","FLAL","           2018 ARDLEY ROAD                          ","                                          ","NORTH PALM BEACH            ","FL","33408     ","  ","01132005"
"L05000003781","GREY GOOSE, LLC                                 ","A","FLAL","           7880 N UNIVERSITY DRIVE                   ","201                                       ","TAMARAC                     ","FL","33321     ","  ","01122005"
"L05000003791","LEI INVESTMENTS, LLC                            ","A","FLAL","           725 34TH AVENUE NORTHEAST                 ","                                          ","ST. PETERSBURG              ","FL","33703     ","  ","01122005"
"L05000003801","ALL SOURCE GRAPHICS, LLC                        ","A","FLAL","           802 YORK WOODS DRIVE                      ","APT A                                     ","ELKHART                     ","IN","46516     ","US","01122005"
"L05000003811","DATAMASTERS, LLC                                ","A","FLAL","           14308 JEFFERSON CIRCLE NORTH              ","                                          ","ATLANTA                     ","GA","30341     ","  ","01122005"
"L05000003821","FAR HOLDINGS, LLC                               ","A","FLAL","           185 SW 20TH WAY                           ","S-1                                       ","DANIA                       ","FL","33004     ","  ","01102005"
"L05000003831","SARASOTA LEATHER INTERIORS, LLC                 ","A","FLAL","           4880 SO. TAMIAMI TRAIL                    ","                                          ","SARASOTA                    ","FL","34231     ","US","01122005"
"L05000003841","M & D ENTERPRISES, LLC                          ","A","FLAL","           5186 N. W. 74TH MANOR                     ","                                          ","COCONUT CREEK               ","FL","33073     ","US","01122005"
"L05000003851","TRIMGUY, LLC.                                   ","A","FLAL","           1603 W. 10TH CT.                          ","                                          ","PANAMA CITY                 ","FL","32401     ","  ","01132005"
"P05000006301","PROMISE LAND SWF, INC.                          ","A","DOMP","           250 LONG MEADOW LANE                      ","                                          ","ROTONDA WEST                ","FL","33947     ","  ","01122005"
"P05000006311","VENDA FINANCIAL, INC.                           ","A","DOMP","           1401 BRICKELL AVE SUITE 500               ","                                          ","MIAMI                       ","FL","33131     ","  ","01122005"
"L05000003861","WHITE DOVE ORIGINALS LC                         ","A","FLAL","           7348 BIMINI DRIVE                         ","                                          ","PORT RICHEY                 ","FL","34668     ","  ","01082005"
"L05000003871","WATER TIGHT CONTRACTING, LLC                    ","A","FLAL","           4212 ROCKY RIDGE PLACE                    ","                                          ","SANFORD                     ","FL","32773     ","US","01132005"
"L05000003881","GRACE ELECTRIC CO. LLC                          ","A","FLAL","           591 TYLER AVE.                            ","                                          ","DELTONA                     ","FL","32725     ","  ","01122005"
"P05000006321","TEREN HOMES, INC.                               ","A","DOMP","           9285 NW 45TH ST                           ","                                          ","SUNRISE                     ","FL","33351     ","  ","01122005"
"L05000003891","PDC, LLC                                        ","A","FLAL","           3458 SE GRAN PARK WAY                     ","                                          ","STUART                      ","FL","34994     ","  ","01132005"
