"CorporateNumber","CorporationName","CorporateStatus","FilingType","AddressLine1","AddressLine2","City","State","ZipCode","Country","FillingDate"
"M05000002890","SIX MILE CREEK VENTURES, LLC                    ","A","FORL","           10161 CENTURION PARKWAY NORTH, SUITE 190  ","                                          ","JACKSONVILLE                ","FL","32256     ","  ","05272005"
"P05000077720","MOTHER GOOSE DAYCARE, INC.                      ","A","DOMP","           2200 PORT MALABAR BLVD                    ","                                          ","PALM BAY                    ","FL","32905     ","  ","05272005"
"P05000077730","HRD ASSOCIATES, INC.                            ","A","DOMP","           2621 NW 46 AVE                            ","                                          ","LAUDERHILL                  ","FL","33313     ","  ","05272005"
"L05000053140","TIP LAND HOLDING III, LLC                       ","A","FLAL","           POST OFFICE BOX 8800                      ","                                          ","WINDERMERE                  ","FL","34786     ","  ","05272005"
"P05000077740","RJF SERVICES, INC.                              ","A","DOMP","           12719 NWHITERAPIDS DRIVE                  ","                                          ","ORLANDO                     ","FL","32828     ","  ","05272005"
"L05000053150","S1 STRATEGIC HOLDINGS, LLC                      ","A","FLAL","           5373 EHRLICH RD. SUITE 222                ","                                          ","TAMPA                       ","FL","33625     ","  ","05272005"
"L05000053170","W.P.S.F. CAPITAL, LLC                           ","A","FLAL","           100 LINCOLN ROAD                          ","# 703                                     ","MIAMI BEACH                 ","FL","33139     ","  ","05272005"
"L05000053180","INTERNET RANKINGS, LLC                          ","A","FLAL","           2031 4TH STREET N                         ","#10                                       ","SAINT PETERSBURG            ","FL","33704     ","  ","05272005"
"L05000053190","STATE ROAD 50 INVESTMENTS, LLC.                 ","A","FLAL","           9990 SW 77TH AVENUE                       ","302                                       ","MIAMI                       ","FL","33156     ","  ","05272005"
"L05000053200","SCOTT CRAFT LAND CLEARING SERVICES LLC          ","A","FLAL","           16800 S HWY 301                           ","                                          ","SUMMERFIELD                 ","FL","34491     ","  ","05272005"
"L05000053210","ROOFTITE LLC                                    ","A","FLAL","           268 NORTH LAKE SHORE DRIVE #12            ","                                          ","OCOEE                       ","FL","34761     ","  ","05272005"
"L05000053230","FAVISTO LLC                                     ","A","FLAL","           1151 NE 45TH STREET                       ","                                          ","OAKLAND PARK                ","FL","33334     ","US","05272005"
"L05000053260","CHURCH STREET INVESTMENTS, LLC                  ","A","FLAL","           8867 SE ROBWYN STREET                     ","                                          ","HOBE SOUND                  ","FL","33455     ","  ","05272005"
"L05000053270","F & M AVENTURA LLC                              ","A","FLAL","           60 SOUTH SHORE DR.                        ","#3                                        ","MIAMI BEACH                 ","FL","33141     ","  ","05272005"
"P05000077780","MENAGE A DEUX, INC.                             ","A","DOMP","           915 SOUTH ALHAMBRA CIRCLE                 ","                                          ","CORAL GABLES                ","FL","33146     ","  ","05272005"
"L05000053280","NORTH STATE INVESTMENT, LLC                     ","A","FLAL","           P.O. BOX 610                              ","                                          ","FORT MYERS                  ","FL","33902--061","US","05272005"
"P05000077750","1247 BAYVIEW DEVELOPMENT CORPORATION            ","A","DOMP","           2903 SALZEDO ST                           ","                                          ","CORAL GABLES                ","FL","33134     ","  ","05272005"
"N05000005580","CHHATTISGARH UNIVERSITY INC.                    ","A","DOMN","P          531 N OCEAN BLVD #201                     ","                                          ","POMPANO BCH                 ","FL","33062     ","  ","05272005"
"P05000077760","PEAKABOO PRODUCTIONS, INC.                      ","A","DOMP","           10330 BENEVA DRIVE                        ","                                          ","TAMPA                       ","FL","33647     ","  ","05272005"
"P05000077790","MAGICAL VACATIONS, INC.                         ","A","DOMP","           P. O. BOX 422290                          ","                                          ","KISSIMMEE                   ","FL","34742     ","US","05272005"
"L05000053290","WILLIAM E. CHEN, D.M.D., P.L.                   ","A","FLAL","           4510 LAKEVIEW DRIVE                       ","                                          ","SEBRING                     ","FL","33870     ","US","05272005"
"L05000053300","BAHAMIAN RETREAT, LLC                           ","A","FLAL","           312 S.E. 17TH STREET                      ","SECOND FLOOR                              ","FORT LAUDERDALE             ","FL","33316     ","  ","05272005"
"L05000053320","LEVI COTTON CONSTRUCTION LLC                    ","A","FLAL","           2466 HWY 2                                ","                                          ","BAKER                       ","FL","32531     ","  ","05272005"
"P05000077810","N. RICARDO'S GENERAL SERVICES, INC.             ","A","DOMP","           11181 NW 37 ST.                           ","                                          ","SUNRISE                     ","FL","33351     ","  ","05272005"
"L05000053330","DEEP BLUE POOLS LLC                             ","A","FLAL","           10110 WINSFORD OAK BLVD                   ","603                                       ","TAMPA                       ","FL","33624     ","US","05312005"
"L05000053370","ORANGE REALTY OF FLORIDA, LLC                   ","A","FLAL","           492 PEPPERMILL CIRCLE                     ","                                          ","KISSIMMEE                   ","FL","34758     ","  ","05292005"
"L05000053220","FAMILY PLUS MEDICAL & REHABILITATION CENTER, LLC","A","FLAL","           5040 N.W. 7TH STREET                      ","450                                       ","MIAMI                       ","FL","33126     ","  ","05272005"
"P05000077770","ALEA'S ALL FIRED UP INCORPORATED                ","A","DOMP","           229 WEST FAIRBANKS AVENUE                 ","                                          ","WINTER PARK                 ","FL","32789     ","US","05272005"
"L05000053350","ASL COACHWORKS, LLC                             ","A","FLAL","           11125 PARK BOULEVARD                      ","#104-342                                  ","SEMINOLE                    ","FL","33772     ","US","06012005"
"L05000053360","MAJESTIC PROPERTIES PINECREST, LLC              ","A","FLAL","           35 NORTHEAST 40 STREET                    ","3RD FLOOR                                 ","MIAMI                       ","FL","33137     ","  ","05252005"
"P05000077820","CSI CLEANING SPACES, INC.                       ","A","DOMP","           238 MARK TWAIN LANE                       ","                                          ","ROTONDA WEST                ","FL","33947     ","US","05272005"
"L05000053380","FLYING UNICORN,  LLC                            ","A","FLAL","           2436 NORTH FEDERAL HWY                    ","SUITE 280                                 ","LIGHTHOUSE POINT            ","FL","33064     ","  ","06012005"
"L05000053390","AVERMED, LLC                                    ","A","FLAL","           15447 SW 92 STREET                        ","                                          ","MIAMI                       ","FL","33196     ","US","05312005"
"L05000053400","GODINES HOME INSPECTION, LC                     ","A","FLAL","           14950 SCHOONER BAY LANE                   ","APT # 19204                               ","NAPLES                      ","FL","34119     ","  ","05312005"
"L05000053410","API EXPRESS, LLC                                ","A","FLAL","           7725 SW 28TH STREET                       ","                                          ","MIAMI                       ","FL","33155     ","  ","05312005"
"P05000077830","CUSTOM ALUMINUM & SCREEN, INC.                  ","A","DOMP","           4023 SAWYER CT                            ","118                                       ","SARASOTA                    ","FL","34233     ","  ","05252005"
"L05000053240","PARAMOUNT 2903 UNIT, LLC                        ","A","FLAL","           1111 BRICKELL AVE                         ","11TH FLOOR                                ","MIAMI                       ","FL","33131     ","US","05272005"
"L05000053250","THE L & A, LLC                                  ","A","FLAL","           3734 SAWGRASS DRIVE                       ","                                          ","TITUSVILLE                  ","FL","32780     ","  ","05262005"
"L05000053420","GLOBAL SOLUTIONS TEAM LLC                       ","A","FLAL","           PO BOX 1543                               ","                                          ","WINTER HAVEN                ","FL","33882     ","  ","05302005"
"L05000053430","MD CONSULTING, LLC                              ","A","FLAL","           P.O. BOX 328                              ","                                          ","OLDSMAR                     ","FL","34677     ","  ","05302005"
"P05000077840","BRUCE CAMACHO'S DOWNTOWN BAIL BONDS, INC.       ","A","DOMP","           2850 VALKYRY WAY                          ","                                          ","CANTONMENT                  ","FL","32533     ","  ","05272005"
"L05000053450","11985 TAMIAMI TRAIL, LLC                        ","A","FLAL","           1705 N 16TH STREET                        ","                                          ","TAMPA                       ","FL","33605     ","  ","05312005"
"L05000053460","SOUTHERN QUALITY TRIM, LLC                      ","A","FLAL","           30 PRUESS DR.                             ","                                          ","FREEPORT                    ","FL","32439     ","US","05312005"
"P05000077850","PILATES BY VAL, INC.                            ","A","DOMP","           2878 GULF BREEZE PARKWAY                  ","                                          ","GULF BREEZE                 ","FL","32563     ","  ","05272005"
"P05000077860","AMERICAN DIABETIC SOLUTIONS INC.                ","A","DOMP","           6725 SW 40TH ST.                          ","                                          ","DAVIE                       ","FL","33314     ","  ","05272005"
"P05000077870","RESORT SERVICES, INC.                           ","A","DOMP","           3000 GULF TO BAY BLVD                     ","SUITE 216                                 ","CLEARWATER                  ","FL","33759     ","US","05272005"
"P05000077800","KRIS B HOME IMPROVEMENT INC                     ","A","DOMP","           1572 NE 30TH STREET                       ","                                          ","POMPANO BEACH               ","FL","33064     ","US","05272005"
"L05000053310","VICKY LEE SANTANA, LLC.                         ","A","FLAL","           10600 US HWY 1                            ","                                          ","SEBASTIAN                   ","FL","32958     ","US","05272005"
"L05000053340","W.H.S. MASONRY LLC                              ","A","FLAL","           2743 MONICA LN                            ","                                          ","PALM HARBOR                 ","FL","34684     ","US","05312005"
"P05000077880","NAOMI V. JONES, PH.D, ARNP, PA                  ","A","DOMP","           1429 ROSE  TERRACE                        ","                                          ","APOKA                       ","FL","32703     ","US","05272005"
"P05000077890","A-Z MAJESTIC PROPERTIES, INC.                   ","A","DOMP","           9501 CAROUSEL CIR E                       ","                                          ","BOCA RATON                  ","FL","33434     ","  ","05272005"
"P05000077910","LAW OFFICE OF GERARD S. KREHL, P.A.             ","A","DOMP","           1103 WOODALL DR.                          ","                                          ","ALTAMONTE SPRINGS           ","FL","32714     ","US","05272005"
"L05000053480","LINPAUL PROPERTIES, LLC                         ","A","FLAL","           3050 MICHIGAN AVE.                        ","                                          ","KISSIMMEE                   ","FL","34744-1544","  ","05232005"
"P05000077930","D. MICHAEL JONES, MD PA                         ","A","DOMP","           408 LOUISA STREET                         ","                                          ","KEY WEST                    ","FL","33040     ","  ","05272005"
"P05000077940","PROCESSING SOLUTIONS NETWORK, INC.              ","A","DOMP","           3898 SW 143 PLACE                         ","                                          ","MIAMI                       ","FL","33175     ","  ","05262005"
"P05000077950","BI-COASTAL PETITIONING, INC.                    ","A","DOMP","           10925 CYPRESS RUN CIRCLE                  ","                                          ","CORAL SPRINGS               ","FL","33071     ","  ","05262005"
"L05000053440","RANDY K. PEARSON, LLC                           ","A","FLAL","           1462 WOODLAWN BEACH RD                    ","                                          ","GULF BREEZE                 ","FL","32563     ","US","05312005"
"L05000053490","FMD VMC, LLC                                    ","A","FLAL","           670 NORTH ORLANDO AVE, SUITE 103          ","ATTN: H.C. KRESGE, JR.                    ","MAITLAND                    ","FL","32757     ","  ","05272005"
"P05000077960","HOME GUARDIAN TITLE, INC.                       ","A","DOMP","           1900 NW CORPORATE BLVD                    ","400E                                      ","BOCA RATON                  ","FL","33431     ","  ","05272005"
"P05000077970","SMILEN & SMILEN ENTERPRISES, INC.               ","A","DOMP","           2105 N. 32ND COURT                        ","                                          ","HOLLYWOOD                   ","FL","33021     ","  ","05272005"
"L05000053500","NABIL S. MOUSSA, LLC                            ","A","FLAL","           206 CHARLES STREET                        ","                                          ","LONGWOOD                    ","FL","32750     ","  ","05272005"
"P05000077980","LOWREY'S PAINTING, INC.                         ","A","DOMP","           401 VENETIAN WAY                          ","                                          ","PANAMA CITY                 ","FL","32405     ","  ","05272005"
"P05000077990","PJJ HEALTH, INC.                                ","A","DOMP","           1300 STONE STREET                         ","                                          ","OVIEDO                      ","FL","32765     ","  ","05272005"
"P05000078000","SSL CORP                                        ","A","DOMP","           141 MAPLECREST CIRCLE                     ","                                          ","JUPITER                     ","FL","33458     ","  ","05272005"
"P05000078010","SUNSHINE CHIROPRACTIC INC                       ","A","DOMP","           8400 CYPRESS DRIVE N                      ","                                          ","FORT MYERS                  ","FL","33912     ","  ","05272005"
"L05000053530","SHIP ME APARTMENT, LLC                          ","A","FLAL","           3041 N. 34 STREET                         ","                                          ","HOLLYWOOD                   ","FL","33021     ","  ","05272005"
"L05000053470","FIRST AD INVESTMENT PROPERTIES, L.L.C.          ","A","FLAL","           11860 WEST STATE ROAD 84                  ","                                          ","DAVIE                       ","FL","33325     ","  ","05272005"
"P05000077900","MOVIES & MOVIES, CORP.                          ","A","DOMP","           247 SW 8TH #336                           ","                                          ","MIAMI                       ","FL","33130     ","  ","05272005"
"N05000005590","CIVITAS PLACE CONDOMINIUM ASSOCIATION, INC.     ","A","DOMN","P          18851 NE 29TH AVENUE                      ","SUITE 900                                 ","AVENTURA                    ","FL","33180     ","  ","05272005"
"L05000053510","342 SAN JUAN DRIVE, LLC                         ","A","FLAL","           P.O. BOX 5430                             ","                                          ","JACKSONVILLE                ","FL","32247     ","  ","05312005"
"L05000053520","EGM HOLDINGS, LLC                               ","A","FLAL","           C/O PERLMAN, YEVOLI & ALBRIGHT, P.L.      ","1500 NORTH FEDERAL HIGHWAY, SUITE 250     ","FORT LAUDERDALE             ","FL","33304     ","  ","05272005"
"F05000003170","RREEF AMERICA REIT II CORP. VVV                 ","A","FORP","           875 N. MICHIGAN AVENUE 41ST FLOOR         ","                                          ","CHICAGO                     ","IL","60611-1901","  ","05272005"
"P05000078020","SANDRA L. MALONE, P.A.                          ","A","DOMP","           5051 PELICAN COLONY BLVD.                 ","#1502                                     ","BONITA SPRINGS              ","FL","34134     ","US","05262005"
"P05000078030","LA  BENDICION INTERNATIONAL  INC.               ","A","DOMP","           5107  UNIVERSITY BLVD WEST                ","201                                       ","JACKSONVILLE                ","FL","32216     ","  ","05272005"
"P05000078040","JOHN KRITS INC.                                 ","A","DOMP","           5600 N. FLAGLER DR.                       ","707                                       ","WEST PALM BEACH             ","FL","33407     ","US","05242005"
"L05000053540","TRANS JET EQUIPMENT, LLC                        ","A","FLAL","           3470 CLUB CENTER BOULEVARD                ","                                          ","NAPLES                      ","FL","34114-0816","  ","05272005"
"P05000077920","RADIANCE REJUVENATION CENTRE, INC.              ","A","DOMP","           C/O DORI RATH                             ","339 6TH AVE WEST                          ","BRADENTON                   ","FL","34205     ","US","05272005"
"P05000078050","NETTRANS ENTERPRISES, INC                       ","A","DOMP","           403 SW 28 PLACE                           ","                                          ","CAPE CORAL                  ","FL","33991     ","  ","05272005"
"P05000078080","RAPID ALERT, INC.                               ","A","DOMP","           2071 WEST ATLANTIC BLVD                   ","102                                       ","POMPANO BEACH               ","FL","33069     ","  ","05262005"
"P05000078100","ALL STAR UNISEX BEAUTY SALON, INC.              ","A","DOMP","           11320 SOUTH ORANGE BLOSSOM TRAIL          ","                                          ","ORLANDO                     ","FL","32837     ","US","05312005"
"P05000078110","GROUND DRIVER, INC.                             ","A","DOMP","           2344 NE 16TH AVENUE                       ","                                          ","OCALA                       ","FL","34470     ","US","05232005"
"P05000078130","LUCAS FINISH CARPENTRY INC                      ","A","DOMP","           8655 SADDLEBROOK CIR                      ","8202                                      ","NAPLES                      ","FL","34104     ","US","06012005"
"P05000078140","GECA ENTERPRISES, INC.                          ","A","DOMP","           P.O. BOX 170413                           ","                                          ","HIALEAH                     ","FL","33017     ","  ","06012005"
"P05000078160","JL PROFESSIONAL SERVICES, INC.                  ","A","DOMP","           7705 DAVIE ROAD EXTENSION                 ","                                          ","HOLLYWOOD                   ","FL","33024     ","  ","05312005"
"L05000053550","HOMINVEST, LLC                                  ","A","FLAL","           1405 S.W. 107TH AVENUE, SUITE 301-B       ","                                          ","MIAMI                       ","FL","33147     ","  ","05312005"
"P05000078180","TECHNOLOGY DEVELOPMENT INC                      ","A","DOMP","           3757 NE 19TH AVE                          ","                                          ","OCALA                       ","FL","34482     ","  ","05312005"
"A05000001070","ALLIANT TAX CREDIT FUND XXVI, LTD.              ","A","DOML","P          340 ROYAL POINCIANA WAY, SUITE 305        ","                                          ","PALM BEACH                  ","FL","33480     ","  ","05232005"
"P05000078200","STATE OF FLORIDA CHAMBER OF COMMERCE, INC.      ","A","DOMP","           179 WASHINGTON AV                         ","                                          ","LAKE MARY                   ","FL","32746     ","US","05302005"
"L05000053560","CROWN PRINCE HOLDINGS, LLC                      ","A","FLAL","           PO BOX 616099                             ","                                          ","ORLANDO                     ","FL","32861     ","  ","05232005"
"P05000078220","MID FLORIDA HOMES BY CARRERA, INC.              ","A","DOMP","           5840 RED BUG LAKE RD.                     ","SUITE 160                                 ","WINTER SPRINGS              ","FL","32708     ","US","05312005"
"L05000053570","YANNUZZI GROUP, LLC                             ","A","FLAL","           8630 SE WATER OAK PLACE                   ","                                          ","TEQUESTA                    ","FL","33469     ","  ","05272005"
"P05000078240","D & L OF SEBRING, INC.                          ","A","DOMP","           430 BIGSTAFF COURT                        ","                                          ","WINTER HAVEN                ","FL","33884     ","US","05262005"
"P05000078250","SUNSHINE SPINE & PAIN, P.A.                     ","A","DOMP","           2163 TRAILWOOD DR.                        ","                                          ","ORANGE PARK                 ","FL","32003     ","  ","06012005"
"P05000078260","KOOLBREEZE INC.                                 ","A","DOMP","           7775 SW 86ST APT F1-07                    ","                                          ","MIAMI                       ","FL","33143     ","  ","05272005"
"P05000078270","WALL STREET REALTY, INC.                        ","A","DOMP","           1851 NW 125TH AVENUE SUITE 317            ","                                          ","PEMBROKE PINES              ","FL","33028     ","  ","05272005"
"N05000005600","UNIVERSITY EXECUTIVE PLAZA, INC.                ","A","DOMN","P          C/O  HOUSE                                ","8050 N UNIVERSITY DRIVE                   ","TAMARAC                     ","FL","33321     ","  ","05252005"
"P05000078060","AERO LOGISTICS AND SUPPORT INC.                 ","A","DOMP","           289 MCCLAIN DRIVE                         ","                                          ","WEST MELBOURNE              ","FL","32904     ","  ","05252005"
"P05000078090","PAINTING ALL, CORP.                             ","A","DOMP","           12912 SW 46 LANE                          ","                                          ","MIAMI                       ","FL","33175     ","  ","05312005"
"P05000078120","SPINNY'S INC.                                   ","A","DOMP","           PO BOX 561482                             ","                                          ","ROCKLEDGE                   ","FL","32956     ","  ","06012005"
"P05000078150","IT IS WRITTEN PROFESSIONAL GRANTWRITING SERVICE ","A","DOMP","           P. O BOX 4142                             ","                                          ","WEST PALM BEACH             ","FL","33402     ","  ","07012005"
"M05000002900","ALVAREZ & MARSAL BUSINESS CONSULTING, LLC       ","A","FORL","           600 LEXINGTON AVE.                        ","                                          ","NEW YORK                    ","NY","10022     ","  ","05312005"
"P05000078290","SOUTH BEACH CUSTOM FURNITURE, INC.              ","A","DOMP","           9556 HISTORIC KINGS RD                    ","                                          ","JACKSONVILLE                ","FL","32256     ","  ","06012005"
"P05000078300","R-A-R IMAGES, INC.                              ","A","DOMP","           12857 SW 65 TERRACE                       ","                                          ","MIAMI                       ","FL","33183     ","  ","05272005"
"L05000053590","CRF - MAGNOLIA POINT, LLC                       ","A","FLAL","           500 SOUTH FLORIDA AVE., SUITE 700         ","                                          ","LAKELAND                    ","FL","33801     ","  ","05312005"
"P05000078320","ALUMINUM BARGES.COM, INC.                       ","A","DOMP","           3673 PROSPECT AVE #4                      ","                                          ","NAPLES                      ","FL","34104     ","  ","05312005"
"L05000053600","PROFESSIONAL BUSINESS SOLUTIONS, LLC            ","A","FLAL","           8317 MISTY WOOD COURT                     ","                                          ","SARASOTA                    ","FL","34241     ","  ","05312005"
"P05000078070","JESURUM CORP                                    ","A","DOMP","           11219 NW 74TH TERRACE                     ","                                          ","MEDLEY                      ","FL","33178-1321","  ","05272005"
"P05000078350","K. KENNEDY CONSTRUCTION, INC.                   ","A","DOMP","           50 KINDRED ST., STE. 201                  ","                                          ","STUART                      ","FL","34994     ","  ","05312005"
"L05000053610","1460 PROPERTY INVESTMENT LLC                    ","A","FLAL","           374 HUNTING LODGE DRIVE                   ","                                          ","MIAMI SPRINGS               ","FL","33166     ","  ","05312005"
"P05000078370","HZ NETWORKS, INC                                ","A","DOMP","           1930 NORTH COMMERCE PARKWAY SUITE 5       ","                                          ","WESTON                      ","FL","33326     ","  ","05162005"
"F05000003180","DGPGGP, INC.                                    ","A","FORP","           704 SHELDON ROAD STE. B                   ","                                          ","CHANNELVIEW                 ","TX","77530     ","  ","05312005"
"P05000078380","ANTHONY L. WALTER, P.A.                         ","A","DOMP","           1580 WINTERBERRY DRIVE                    ","                                          ","MARCO ISLAND                ","FL","34145     ","  ","05312005"
"P05000078390","DANIEL A PALMISANO, OD, PA                      ","A","DOMP","           490 S WOODLANDS DR                        ","                                          ","OLDSMAR                     ","FL","34677     ","  ","05272005"
"P05000078170","SUNCOAST BUILDERS LEASING INC                   ","A","DOMP","           602 FAYETTE DR S                          ","                                          ","SAFETY HARBOR               ","FL","34695     ","US","05312005"
"P05000078190","REDZONE INVESTMENTS CORPORATION                 ","A","DOMP","           4818 SW 145 AVE                           ","                                          ","MIAMI                       ","FL","33175     ","  ","05302005"
"P05000078230","BIG BEN CLEANING INC.                           ","A","DOMP","           1746 BRACKLAND ST.                        ","                                          ","JACKSONVILLE                ","FL","32206     ","US","05312005"
"P05000078210","MARELLI WALLS & CEILINGS INC.                   ","A","DOMP","           5373 STACY STREET                         ","                                          ","WEST PALM BEACH             ","FL","33417     ","  ","05302005"
"P05000078280","ENGLISH AIR, INC.                               ","A","DOMP","           5437 HERMOSA ST.                          ","                                          ","ORLANDO                     ","FL","32807     ","  ","05272005"
"L05000053580","STEFFEN VETTER, LLC                             ","A","FLAL","           242 S.W. 38TH STREET                      ","                                          ","CAPE CORAL                  ","FL","33914     ","  ","05312005"
"P05000078310","COMMEX PAINTING, INC.                           ","A","DOMP","           50 MOON BAY ST                            ","                                          ","NAPLES                      ","FL","34145     ","  ","05312005"
"P05000078330","JANET KOSTER, INC.                              ","A","DOMP","           1101 SEMINOLE ST                          ","                                          ","CLEARWATER                  ","FL","33755     ","  ","05272005"
"P05000078340","BABSON PARK REALTY, INC.                        ","A","DOMP","           101 WILSON ROAD                           ","                                          ","FROSTPROOF                  ","FL","33843     ","  ","05272005"
"P05000078360","BOOTH'S STUMP GRINDING, INC.                    ","A","DOMP","           1628 BLAKLEY AVENUE                       ","                                          ","PENSACOLA                   ","FL","32507     ","  ","05232005"
"N05000005610","DISABILITY HELP AND VOCATIONAL TRAINING OF NORTH","A","DOMN","P          1752 260TH STREET                         ","                                          ","O'BRIEN                     ","FL","32071     ","  ","05312005"
"P05000078400","SEASIDE PRIME REALTY, P.A.                      ","A","DOMP","           1294 VIA PORTOFINO                        ","                                          ","NAPLES                      ","FL","34108     ","  ","05312005"
"L05000053101","INTERNATIONAL TRADE CENTER ASSOCIATES, L.L.C.   ","A","FLAL","           12 BROWN COURT                            ","                                          ","CHESTER                     ","NY","07930     ","  ","05272005"
"P05000077671","BEST RATE CONSTRUCTION INC.                     ","A","DOMP","           8751 NW 33 AVE CT                         ","                                          ","MIAMI                       ","FL","33147     ","  ","05272005"
"L05000053111","FIDELITY MANAGEMENT, L.L.C.                     ","A","FLAL","           3961 GORDON DRIVE                         ","                                          ","NAPLES                      ","FL","34102     ","  ","05192005"
"P05000077681","ADEXIM INTERNATIONAL, INC.                      ","A","DOMP","           19495 BISCAYNE BLVD SUITE 401             ","                                          ","AVENTURA                    ","FL","33180     ","  ","05272005"
"P05000077691","TCR MANAGEMENT, INC.                            ","A","DOMP","           13575 SANDY KEY DR UNIT 118               ","                                          ","PENSACOLA                   ","FL","32507     ","  ","05272005"
"N05000005571","CENTRAL FLORIDA GAY & LESBIAN LAW ASSOCIATION, I","A","DOMN","P          POST OFFICE BOX 536044                    ","                                          ","ORLANDO                     ","FL","32853     ","  ","05272005"
"P05000077701","JAYHAN, INC.                                    ","A","DOMP","           301 N CATTLEMAN RD #205                   ","                                          ","SARASOTA                    ","FL","34232     ","  ","05272005"
"P05000077711","GREENSPRINGS SOUTH, INC.                        ","A","DOMP","           12 62ND STREET                            ","                                          ","YANKEETOWN                  ","FL","34498     ","  ","05272005"
"L05000053121","TERRATRAN TWENTY, LLC                           ","A","FLAL","           1801 SOUTH BAYSHORE LANE                  ","                                          ","COCONUT GROVE               ","FL","33133-4007","  ","05272005"
"L05000053131","FLORIDA KEYS VACATION GETAWAY, LLC              ","A","FLAL","           5050 SW 188TH AVE                         ","                                          ","SOUTHWEST RANCHES           ","FL","33332-1326","  ","05272005"
"P05000077731","CLINICA ASOCIACION CUBANA, INC                  ","A","DOMP","           3600 SW 185 AVENUE                        ","                                          ","MIRAMAR                     ","FL","33029     ","  ","05262005"
"L05000053141","LOWINGER FAMILY REALTY, LLC                     ","A","FLAL","           12 RYAN ROAD                              ","                                          ","EDISON                      ","NJ","08817     ","  ","05272005"
"P05000077741","APT INC.                                        ","A","DOMP","           60 NE 11TH ST.                            ","                                          ","MIAMI                       ","FL","          ","  ","05272005"
"P05000077751","VENUS AESTHETIQUE, CORP.                        ","A","DOMP","           9600 SW 8TH STREET #47                    ","                                          ","MIAMI                       ","FL","33174     ","  ","05272005"
"L05000053151","CYD GROUP, LLC                                  ","A","FLAL","           P.O. BOX 1008                             ","                                          ","MINNEOLA                    ","FL","34755     ","US","05272005"
"L05000053161","BOB THORNE TREE & LAND CLEARING LLC             ","A","FLAL","           1555 SOUTH SALFORD BLVD                   ","                                          ","NORTH PORT                  ","FL","34287     ","US","05272005"
"L05000053171","864 ENFIELD ST, LLC                             ","A","FLAL","           6081 HOLLOWS LANE                         ","                                          ","DELRAY BEACH                ","FL","33484     ","  ","05272005"
"L05000053191","J&J PADDOCK PARK, LLC                           ","A","FLAL","           14980 HORSESHOE TRACE                     ","                                          ","WELLINGTON                  ","FL","33414     ","US","05272005"
"L05000053201","TAIPAN PROPERTY X, LLC                          ","A","FLAL","           820 GULF BLVD.                            ","                                          ","BELLEAIR SHORES             ","FL","33786     ","  ","05272005"
"N05000005581","VISION HISPANA LO NUESTRO INC.                  ","A","DOMN","P          P.O. BOX 1316                             ","                                          ","VALRICO                     ","FL","33595     ","  ","05282005"
"P05000077761","WE PAY TO YOU REAL ESTATE, INC.                 ","A","DOMP","           4370 NW 120 WAY                           ","                                          ","SUNRISE                     ","FL","33323     ","  ","05272005"
"L05000053211","BRIO DEVELOPMENT AND ASSOCIATES,LLC             ","A","FLAL","           8401 NINTH STREET NORTH                   ","SUITE 440                                 ","SAINT PETERSBURG            ","FL","33702     ","US","05272005"
